"device_id","tavg","td","tn","t_nd","Tcorr1Y","Tcorr2Y"
"10350072",3.0908855427396555,3.4797495520777173,2.7020215334015942,0.7777280186761231,NULL,NULL
"10350017",4.957055554193046,5.378992067191691,4.5351190411944,0.8438730259972909,-0.5071375551043246,-0.1351381920161579
"10350049",4.299708333531661,4.8849226250534965,3.7144940420098247,1.1704285830436718,NULL,NULL
"10347310",4.53748611241786,5.354202384336127,3.7207698404995933,1.633432543836534,-0.3679566145026294,-0.1219752207999979
"10347320",5.349757941410182,5.857507931571158,4.842007951249206,1.0154999803219518,NULL,NULL
"10350101",5.403442457739619,5.8872698321938515,4.919615083285386,0.9676547489084655,-0.4649369631783626,-0.15857992125907416
"10350075",5.47100197955493,5.997829373157214,4.944174585952645,1.053654787204569,NULL,NULL
"10347335",5.91641071202263,6.248488096490739,5.584333327554521,0.6641547689362177,NULL,NULL
"10760710",5.679777774102394,6.067789681743653,5.2917658664611364,0.7760238152825165,NULL,NULL
"10350043",4.821199324809843,5.182189984927102,4.460208664692583,0.7219813202345184,-0.5083484161252959,-0.15111156386928726
"10088310",5.257742073712131,5.656341296251094,4.859142851173168,0.7971984450779264,NULL,NULL
"10347318",6.221968253128349,6.684198407071923,5.759738099184775,0.9244603078871485,-0.4695441618458905,-0.19432719320309674
"10760820",5.198464286432321,5.839753970444676,4.557174602419966,1.2825793680247095,-0.4084752495142557,-0.08551737314605747
"10350028",4.253827986943107,4.886021197463076,3.6216347764231385,1.2643864210399371,-0.41133966542835904,-0.11184966441348657
"10760810",6.804527783204639,7.103535716732343,6.505519849676935,0.5980158670554081,-0.5513416477286416,-0.16051231211377864
"10760823",7.645130955983722,7.891849207026618,7.398412704940826,0.4934365020857916,-0.5645912451660088,-0.15998000578706978
"10347367",4.112099208942954,4.65923016689836,3.564968250987549,1.0942619159108111,-0.4360015009650321,-0.1695664490657866
"10347325",5.085097211313301,5.576035702896733,4.594158719729869,0.9818769831668641,-0.4942905280222018,-0.14908098753782134
"10350007",5.306404754349459,5.990031738735972,4.622777769962947,1.3672539687730252,-0.4180494150281987,-0.08685379331451386
"10350090",6.899285715073347,7.302825394249152,6.495746035897542,0.8070793583516096,-0.472840903267763,-0.14042157599385216
"10347342",6.222058211978052,6.711339302242748,5.732777121713355,0.9785621805293925,-0.4731949016809759,-0.10466724470948605
